t,lead_I
247.6,-120643.65
249.6,-120644.84999999999
251.6,-120639.5
253.6,-120635.85
255.6,-120639.24999999999
257.6,-120649.2
259.6,-120660.99999999999
261.6,-120668.0
263.6,-120666.59999999999
265.6,-120660.65
267.6,-120655.05
269.6,-120647.95
271.6,-120633.95000000001
273.6,-120612.45000000001
275.6,-120589.8
277.6,-120575.05
279.6,-120571.95
281.6,-120573.55
283.6,-120568.70000000001
285.6,-120555.8
287.6,-120545.0
289.6,-120543.25
291.6,-120543.0
293.6,-120532.69999999998
295.6,-120516.29999999999
297.6,-120510.55
299.6,-120521.04999999999
301.5,-120534.0
303.5,-120537.29999999999
305.5,-120536.15000000001
307.5,-120541.85
309.5,-120554.8
311.5,-120566.15
313.5,-120570.55
315.5,-120573.55
317.5,-120585.0
319.5,-120604.85000000002
321.5,-120621.50000000001
323.5,-120626.85
325.5,-120625.25
327.5,-120624.40000000001
329.5,-120626.8
331.5,-120632.30000000002
333.5,-120639.60000000002
335.5,-120645.2
337.5,-120648.6
339.5,-120656.45
341.5,-120673.09999999999
343.5,-120692.20000000001
345.5,-120703.30000000002
347.5,-120703.70000000001
349.5,-120703.20000000001
351.5,-120714.8
353.5,-120737.3
355.5,-120752.95
357.5,-120752.15
359.5,-120750.95
361.5,-120767.9
363.5,-120795.9
365.5,-120813.4
367.5,-120812.85
369.5,-120805.55
371.5,-120805.10000000002
373.48,-120812.5
375.45,-120816.15
377.43,-120808.0
379.4,-120796.0
381.4,-120793.0
383.4,-120797.15
385.4,-120795.75
387.4,-120784.85
389.4,-120770.90000000001
391.4,-120758.25000000001
393.4,-120746.85
395.4,-120737.95
397.4,-120731.55
399.4,-120723.05
401.4,-120711.2
403.4,-120702.59999999999
405.4,-120701.59999999999
407.4,-120702.8
409.4,-120699.7
411.4,-120694.90000000001
413.4,-120696.55
415.4,-120706.85
417.4,-120718.35
419.4,-120722.85000000002
421.4,-120722.00000000001
423.4,-120726.15000000001
425.4,-120740.90000000001
427.4,-120757.70000000001
429.4,-120763.70000000001
431.4,-120759.95000000003
433.4,-120760.70000000001
435.4,-120772.30000000002
437.4,-120784.40000000001
439.4,-120787.5
441.4,-120786.40000000001
443.4,-120789.8
445.4,-120797.65000000002
447.4,-120804.00000000003
449.4,-120804.70000000003
451.4,-120800.70000000003
453.38,-120798.15000000002
455.35,-120801.50000000001
457.33,-120805.05
459.3,-120799.0
461.3,-120782.5
463.3,-120763.25000000001
465.3,-120747.2
467.3,-120734.34999999999
469.3,-120721.7
471.3,-120706.59999999999
473.3,-120690.25
475.3,-120678.29999999999
477.3,-120675.85
479.3,-120681.95000000001
481.3,-120690.1
483.3,-120695.40000000001
485.3,-120701.05000000002
487.3,-120712.9
489.3,-120726.5
491.3,-120728.44999999998
493.3,-120715.59999999999
495.3,-120702.59999999999
497.3,-120703.59999999999
499.3,-120714.50000000001
501.3,-120722.25000000003
503.3,-120724.95000000003
505.3,-120733.90000000002
507.3,-120756.75000000001
509.3,-120785.65000000002
511.3,-120806.70000000001
513.3,-120817.20000000001
515.3,-120826.25000000001
517.3,-120839.45000000001
519.3,-120851.35
521.3,-120854.15000000001
523.3,-120847.65
525.3,-120838.20000000001
527.3,-120831.70000000001
529.3,-120829.15
531.3,-120829.4
533.28,-120832.8
535.25,-120839.35
537.23,-120847.95000000001
539.2,-120862.05000000002
541.2,-120886.59999999999
543.2,-120914.80000000002
545.2,-120931.15000000001
547.2,-120933.5
549.2,-120936.15
551.2,-120945.7
553.2,-120949.8
555.2,-120933.65000000001
557.2,-120895.75
559.2,-120843.25
561.2,-120778.70000000001
563.2,-120693.15000000001
565.2,-120576.05
567.2,-120434.2
569.2,-120290.1
571.2,-120154.45000000001
573.2,-120017.60000000002
575.2,-119878.3
577.2,-119759.55
579.2,-119682.30000000002
581.2,-119642.35
583.2,-119625.5
585.2,-119625.1
587.2,-119636.7
589.2,-119653.25
591.2,-119671.55
593.2,-119691.79999999999
595.2,-119714.35
597.2,-119744.0
599.2,-119791.0
601.2,-119862.5
603.2,-119958.09999999999
605.2,-120070.95
607.2,-120191.90000000001
609.2,-120318.10000000002
611.2,-120454.3
613.18,-120598.3
615.15,-120734.29999999999
617.13,-120844.0
619.1,-120914.15000000001
621.1,-120940.65000000001
623.1,-120936.05000000002
625.1,-120919.70000000001
627.1,-120895.1
629.1,-120857.05
631.1,-120815.95
633.1,-120789.95
635.1,-120780.05
637.1,-120774.7
639.1,-120767.4
641.1,-120758.45
643.1,-120752.05
645.1,-120755.65
647.1,-120768.45000000001
649.1,-120775.25000000001
651.1,-120765.35000000002
653.1,-120749.85000000002
655.1,-120743.45000000001
657.1,-120741.45000000001
659.1,-120733.40000000001
661.1,-120724.25000000001
663.1,-120721.75000000001
665.1,-120722.00000000001
667.1,-120722.75
669.1,-120728.95
671.1,-120736.24999999999
673.1,-120733.3
675.1,-120723.65000000001
677.1,-120719.65000000002
679.1,-120720.1
681.1,-120714.20000000001
683.1,-120701.05
685.1,-120689.95
687.1,-120687.0
689.1,-120689.34999999999
691.1,-120689.95
693.08,-120684.49999999999
695.05,-120676.3
697.03,-120674.45000000001
699.0,-120683.15000000002
701.0,-120693.95000000003
703.0,-120694.70000000003
705.0,-120684.60000000003
707.0,-120672.20000000003
709.0,-120661.15000000002
711.0,-120648.70000000001
713.0,-120634.55
715.0,-120620.90000000001
717.0,-120608.65000000001
719.0,-120599.35
721.0,-120595.50000000001
723.0,-120595.35000000002
725.0,-120592.35000000002
727.0,-120582.05000000002
729.0,-120568.3
731.0,-120559.20000000001
733.0,-120554.40000000001
735.0,-120543.65000000001
737.0,-120522.20000000001
739.0,-120499.50000000001
741.0,-120485.1
743.0,-120474.85
745.0,-120457.8
747.0,-120432.50000000001
749.0,-120410.1
751.0,-120400.15
753.0,-120396.49999999999
755.0,-120384.24999999999
757.0,-120360.84999999999
759.0,-120339.1
761.0,-120328.1
763.0,-120321.8
765.0,-120309.65000000001
767.0,-120289.65000000001
769.0,-120268.60000000002
771.0,-120253.85000000002
772.98,-120245.70000000004
774.95,-120236.40000000002
776.93,-120219.85000000002
778.9,-120200.75000000001
780.9,-120188.40000000001
782.9,-120184.15000000002
784.9,-120182.45000000003
786.9,-120178.60000000003
788.9,-120170.40000000002
790.9,-120159.35
792.9,-120153.75000000001
794.9,-120158.65
796.9,-120163.0
798.9,-120153.20000000001
800.9,-120135.45000000001
802.9,-120127.70000000001
804.9,-120134.00000000001
806.9,-120142.59999999999
808.9,-120143.2
810.9,-120136.65
812.9,-120132.49999999999
814.9,-120138.3
816.9,-120147.55
818.9,-120146.40000000001
820.9,-120135.10000000002
822.9,-120128.9
824.9,-120134.55
826.9,-120141.95000000001
828.9,-120141.35
830.9,-120135.55
832.9,-120133.2
834.9,-120139.05
836.9,-120151.0
838.9,-120161.54999999999
840.9,-120164.75
842.9,-120164.55000000002
844.9,-120171.15000000002
846.9,-120186.25000000001
848.9,-120200.55000000002
850.9,-120209.10000000002
852.88,-120219.45000000001
854.85,-120239.6
856.83,-120268.50000000003
858.8,-120300.65000000002
860.8,-120331.00000000001
862.8,-120356.1
864.8,-120378.29999999999
866.8,-120404.8
868.8,-120435.09999999999
870.8,-120458.6
872.8,-120470.45000000001
874.8,-120480.40000000002
876.8,-120500.35
878.8,-120530.2
880.8,-120559.35
882.8,-120578.35
884.8,-120589.55
886.8,-120605.15000000001
888.8,-120630.59999999999
890.8,-120654.59999999999
892.8,-120663.44999999998
894.8,-120661.30000000002
896.8,-120663.80000000002
898.8,-120675.3
900.8,-120684.90000000001
902.8,-120684.95000000001
904.8,-120682.45
906.8,-120688.25
908.8,-120702.6
910.8,-120716.25000000001
912.8,-120723.35
914.8,-120727.4
916.8,-120734.05
918.8,-120742.99999999999
920.8,-120750.0
922.8,-120752.20000000001
924.8,-120747.45000000001
926.8,-120736.15000000002
928.8,-120725.65000000001
930.7,-120723.6
932.7,-120725.59999999999
934.7,-120720.29999999999
936.7,-120707.7
938.7,-120699.55
940.7,-120700.25000000001
942.7,-120699.65000000001
944.7,-120687.65
946.7,-120667.79999999999
948.7,-120654.4
950.7,-120656.2
952.7,-120664.2
954.7,-120661.90000000001
956.7,-120648.60000000002
958.7,-120641.25000000001
960.7,-120648.55
962.7,-120658.55
964.7,-120660.65000000001
966.7,-120662.35
968.7,-120673.30000000002
970.7,-120688.95
972.7,-120701.05
974.7,-120710.3
976.7,-120719.65000000001
